Melt temperature,Mold temperature,SKx - Closing force,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,SVo - Shot volume,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,CPn - Screw position at the end of hold pressure,quality
106.4761843026486,80.617,886.9,145.6,922.3,18.73,7.124,3.16,74.83,904.0,116.9,104.3,8.82,1.0
105.505,81.362,919.4097910069526,145.6,930.5,18.73,6.968,3.16,74.81,935.9,113.9,104.9,8.59,1.0
105.505,80.411,908.6,147.0,933.1,18.98,6.864,4.08,74.81,902.344823440673,120.5,106.50349562132968,8.8,1.0
106.474827319454,81.162,879.4108705141836,145.6,922.3,18.73,6.864,3.16,74.82,902.0336532778018,127.3,104.9,8.85,1.0
106.46614012359792,81.471,885.6442597147975,145.6,917.5,18.75,6.864,3.22,74.83,902.821268610423,120.5,106.7,8.8,1.0
105.449,81.162,903.1,145.6,882.3,18.72,6.864,3.186743629216821,74.81,902.4442767756626,120.5,104.9,8.84,1.0
106.27280603310146,81.343,885.1536783067113,145.8,922.3,18.73,7.228,3.16,74.82,895.3,116.9,107.8,8.59,1.0
105.571,80.326,915.3,147.4,860.9,18.95,6.968,5.57,74.81,929.5,100.4,86.2,8.62,1.0
106.47154388965863,81.402,919.8881899258424,146.0,882.3,18.73,6.968,3.185673701843666,74.82,895.3,120.5,93.1,8.83,1.0
105.505,81.027,885.1124139116309,146.1,882.3,18.73,6.864,3.22,74.82,902.1128740478296,113.9,93.1,8.68,1.0
105.944,81.402,908.6,145.9,917.5,18.89,7.228,3.16,74.83,938.2,120.5,104.9,8.85,1.0
106.323,81.343,885.2,146.7,930.5,18.8,7.124,3.16,74.83,904.0,118.4,107.3,8.76,1.0
106.44650799949244,80.617,884.9929424085067,146.7,882.3,18.77,7.228,4.08,74.81,938.2,116.9,106.61143378574802,8.8,1.0
106.4587629095648,81.162,919.9132001925126,145.9,937.7,18.71,6.864,3.2,74.83,902.3395081906394,120.5,88.9,8.68,1.0
106.27478511665429,81.362,886.9,146.0,882.3,18.8,7.228,3.16,74.81,926.3,107.3,106.2,8.81,1.0
105.944,81.162,903.1,146.7,930.5,18.76,6.864,4.08,74.83,904.0,118.4,106.2,8.83,1.0
106.323,80.617,919.5773069587732,148.1,933.1,18.72,6.864,3.82,74.81,918.2,113.9,93.1,8.59,1.0
106.237,81.027,879.6253698400482,145.9,933.1,18.76,6.864,3.185465953285024,74.83,904.0,120.5,106.48490402172229,8.84,1.0
106.05,81.196,908.6,145.7,931.2,18.7,6.968,3.19,74.81,926.5,114.5,103.0,8.87,1.0
105.449,80.411,885.2852523937066,147.0,923.9,18.77,6.968,3.189244993662931,74.82,896.8,116.9,106.51484116160532,8.8,1.0
105.449,81.343,901.6,146.0,882.3,18.77,6.968,3.16,74.83,896.8,113.9,106.48600513038112,8.85,1.0
106.47733601809936,81.437,903.1,148.1,922.3,18.75,7.124,3.189451507529756,74.82,896.8,127.3,106.40122447430213,8.59,1.0
106.27304265034051,80.411,885.0213666931486,147.0,933.1,18.76,6.864,4.08,74.82,896.8,113.9,104.3,8.83,1.0
106.274739059901,81.162,879.7630138050932,145.6,933.1,18.73,7.228,3.1779406842269857,74.83,904.0,120.5,106.7,8.85,1.0
106.106,81.145,909.4,145.7,929.3,18.71,6.968,3.17,74.81,923.8,113.0,105.4,8.85,1.0
106.4638865605136,81.058,903.1,145.9,930.5,18.73,6.864,3.22,74.82,901.9795217856828,120.5,106.2,8.85,1.0
106.27265415576662,80.617,879.4152868493275,146.7,882.3,18.75,6.864,3.1821940496115246,74.82,895.3,127.3,104.9,8.82,1.0
106.4873969501806,81.471,885.2984746225802,145.9,937.7,18.75,6.864,3.22,74.82,926.3,107.3,106.41873617761064,8.68,1.0
105.449,80.617,903.1,147.0,933.1,18.89,6.864,3.1852226547087668,74.81,919.9,120.5,93.1,8.81,1.0
106.27542673722532,81.027,885.3072658388108,145.8,926.5,18.73,6.864,4.08,74.81,896.8,120.5,88.9,8.76,1.0
106.27295630124225,80.617,908.6,146.0,920.2,18.73,6.864,3.2,74.83,918.2,116.9,106.48202787270958,8.85,1.0
105.711,80.819,928.7,147.1,903.0,18.84,6.916,3.35,74.81,945.0,112.4,101.3,8.73,1.0
105.963,81.193,908.8,147.7,925.7,18.71,6.968,3.17,74.8,923.4,116.3,106.9,8.86,1.0
